100 Grand,0.73199999
3 Musketeers,0.60399997
One dime,0.011
One quarter,0.011
Air Heads,0.90600002
Almond Joy,0.465
Baby Ruth,0.60399997
Boston Baked Beans,0.31299999
Candy Corn,0.90600002
Caramel Apple Pops,0.60399997
Charleston Chew,0.60399997
Chewey Lemonhead Fruit Mix,0.73199999
Chiclets,0.046
Dots,0.73199999
Dum Dums,0.73199999
Fruit Chews,0.127
Fun Dip,0.73199999
Gobstopper,0.90600002
Haribo Gold Bears,0.465
Haribo Happy Cola,0.465
Haribo Sour Bears,0.465
Haribo Twin Snakes,0.465
HersheyÕs Kisses,0.127
HersheyÕs Krackel,0.43000001
HersheyÕs Milk Chocolate,0.43000001
HersheyÕs Special Dark,0.43000001
Jawbusters,0.093000002
Junior Mints,0.197
Kit Kat,0.31299999
Laffy Taffy,0.22
Lemonhead,0.046
Lifesavers big ring gummies,0.26699999
Peanut butter M&MÕs,0.82499999
M&MÕs,0.82499999
Mike & Ike,0.87199998
Milk Duds,0.30199999
Milky Way,0.60399997
Milky Way Midnight,0.73199999
Milky Way Simply Caramel,0.96499997
Mounds,0.31299999
Mr Good Bar,0.31299999
Nerds,0.84799999
Nestle Butterfinger,0.60399997
Nestle Crunch,0.31299999
Nik L Nip,0.197
Now & Later,0.22
Payday,0.465
Peanut M&Ms,0.59299999
Pixie Sticks,0.093000002
Pop Rocks,0.60399997
Red vines,0.58099997
ReeseÕs Miniatures,0.034000002
ReeseÕs Peanut Butter cup,0.72000003
ReeseÕs pieces,0.40599999
ReeseÕs stuffed with pieces,0.98799998
Ring pop,0.73199999
Rolo,0.86000001
Root Beer Barrels,0.73199999
Runts,0.87199998
Sixlets,0.22
Skittles original,0.94099998
Skittles wildberry,0.94099998
Nestle Smarties,0.26699999
Smarties candy,0.26699999
Snickers,0.546
Snickers Crisper,0.60399997
Sour Patch Kids,0.068999998
Sour Patch Tricksters,0.068999998
Starburst,0.15099999
Strawberry bon bons,0.56900001
Sugar Babies,0.96499997
Sugar Daddy,0.41800001
Super Bubble,0.162
Swedish Fish,0.60399997
Tootsie Pop,0.60399997
Tootsie Roll Juniors,0.31299999
Tootsie Roll Midgies,0.17399999
Tootsie Roll Snack Bars,0.465
Trolli Sour Bites,0.31299999
Twix,0.546
Twizzlers,0.22
Warheads,0.093000002
WelchÕs Fruit Snacks,0.31299999
WertherÕs Original Caramel,0.186
Whoppers,0.87199998